STATEFIPS,STATE,zipcode,agi_stub
1,AL,35739,1
1,AL,35739,2
1,AL,35739,3
1,AL,35739,4
1,AL,35739,5
1,AL,35739,6
1,AL,35740,1
1,AL,35740,2
1,AL,35740,3
1,AL,35740,4
1,AL,35740,5
1,AL,35740,6
1,AL,35741,1
1,AL,35741,2
1,AL,35741,3
1,AL,35741,4
1,AL,35741,5
1,AL,35741,6
1,AL,35744,1
1,AL,35744,2
1,AL,35744,3
1,AL,35744,4
1,AL,35744,5
1,AL,35744,6
1,AL,35746,1
1,AL,35746,2
1,AL,35746,3
1,AL,35746,4
1,AL,35746,5
1,AL,35746,6
1,AL,35747,1
1,AL,35747,2
1,AL,35747,3
1,AL,35747,4
1,AL,35747,5
1,AL,35747,6
1,AL,35748,1
1,AL,35748,2
1,AL,35748,3
1,AL,35748,4
1,AL,35748,5
1,AL,35748,6
1,AL,35749,1
1,AL,35749,2
1,AL,35749,3
1,AL,35749,4
1,AL,35749,5
1,AL,35749,6
1,AL,35750,1
1,AL,35750,2
1,AL,35750,3
1,AL,35750,4
1,AL,35750,5
1,AL,35750,6
1,AL,35752,1
1,AL,35752,2
1,AL,35752,3
1,AL,35752,4
1,AL,35752,5
1,AL,35752,6
1,AL,35754,1
1,AL,35754,2
1,AL,35754,3
1,AL,35754,4
1,AL,35754,5
1,AL,35754,6
1,AL,35755,1
1,AL,35755,2
1,AL,35755,3
1,AL,35755,4
1,AL,35755,5
1,AL,35755,6
1,AL,35756,1
1,AL,35756,2
1,AL,35756,3
